SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1994 Corsica Way,Brentwood,CA,94513,830000,2,2.5,Trilogy Vineyards,2054,5719,2016,1,404,346,Active,,,http://www.redfin.com/CA/Brentwood/1994-Corsica-Way-94513/home/56908377,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906070,N,Y,37.897804,-121.7201471
MLS Listing,,Single Family Residential,2613 Forty Niner Way,Antioch,CA,94531,535000,4,2.0,Laurel Ridge,2014,7160,1995,1,266,,Active,,,http://www.redfin.com/CA/Antioch/2613-Forty-Niner-Way-94531/home/1634495,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906322,N,Y,37.9589176,-121.7787118
MLS Listing,,Single Family Residential,332 Blue Lake Cir,Oakley,CA,94561,849998,5,4.0,Oakley,4042,11325,2007,1,210,144,Active,,,http://www.redfin.com/CA/Oakley/332-Blue-Lake-Ct-94561/home/17169741,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906029,N,Y,37.9882465,-121.6334572
MLS Listing,,Single Family Residential,516 Patterson Blvd,Pleasant Hill,CA,94523,899000,3,2.0,Poets Corner,1557,8000,1956,1,577,,Active,,,http://www.redfin.com/CA/Pleasant-Hill/516-Patterson-Blvd-94523/home/847538,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906438,N,Y,37.9361913,-122.0719155
MLS Listing,,Single Family Residential,4911 Ridgefield Cir,Fairfield,CA,94534,665000,4,4.0,Cordelia,2755,8050,2006,2,241,,Active,,,http://www.redfin.com/CA/Fairfield/4911-Ridgefield-Cir-94534/home/2629507,BAREIS,22011250,N,Y,38.1667429,-122.139906
MLS Listing,,Single Family Residential,246 Monte Vista Ln,DALY CITY,CA,94015,898000,3,2.5,DALY CITY,1600,1392,1981,2,561,350,Active,,,http://www.redfin.com/CA/Daly-City/246-Monte-Vista-Ln-94015/home/922403,MLSListings,ML81794298,Y,Y,37.658315,-122.463216
MLS Listing,,Single Family Residential,1401 Cypress Dr,Tracy,CA,95376,410000,3,2.0,Tracy Central,1120,5179,1979,2,,,Active,,,http://www.redfin.com/CA/Tracy/1401-Cypress-Dr-95376/home/19761100,MetroList,20030224,N,Y,37.7339485,-121.4413995
MLS Listing,,Single Family Residential,1950 Evergreen Ave,San Leandro,CA,94577,799888,3,2.0,Assumption Parsh,1940,5700,1956,3,412,,Active,,,http://www.redfin.com/CA/San-Leandro/1950-Evergreen-Ave-94577/home/1939632,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905479,N,Y,37.7226265,-122.1368593
MLS Listing,,Single Family Residential,84 Heritage Way,Brentwood,CA,94513,539000,4,3.0,Providence,1654,5009,2001,8,326,,Active,,,http://www.redfin.com/CA/Brentwood/84-Heritage-Way-94513/home/1494447,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905807,N,Y,37.9243343,-121.6792383
MLS Listing,,Single Family Residential,9648 Dunbar Dr,Oakland,CA,94603,669880,3,2.5,Stonehurst,1414,2015,2011,15,474,125,Active,,,http://www.redfin.com/CA/Oakland/9648-Dunbar-Dr-94603/home/28697352,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904884,N,Y,37.7411837,-122.1787301
MLS Listing,,Single Family Residential,3306 Shenandoah Ct,Fairfield,CA,94534,529000,4,2.0,Fairfield 4,1703,9509,1997,15,311,,Active,,,http://www.redfin.com/CA/Fairfield/3306-Shenandoah-Ct-94534/home/2532780,BAREIS,22010337,N,Y,38.2589637,-122.0701843
MLS Listing,,Single Family Residential,1768 Home Gate Dr,SAN JOSE,CA,95148,799777,3,2.5,SAN JOSE,1376,3360,1984,28,581,120,Active,,,http://www.redfin.com/CA/San-Jose/1768-Home-Gate-Dr-95148/home/1038794,MLSListings,ML81791011,N,Y,37.340297,-121.819251
MLS Listing,,Single Family Residential,3015 Point Pleasant Rd,Elk Grove,CA,95757,525000,4,3.0,Elk Grove,1979,159430,1930,29,,,Active,,,http://www.redfin.com/CA/Elk-Grove/3015-Point-Pleasant-Rd-95757/home/19278430,MetroList,20023945,N,Y,38.3212924,-121.463985
MLS Listing,,Single Family Residential,6645 Spruce Ln,Dublin,CA,94568,898888,3,2.0,Echo Park,1464,5399,1965,29,614,,Active,,,http://www.redfin.com/CA/Dublin/6645-Spruce-Ln-94568/home/1429042,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40903138,N,Y,37.708749,-121.9170657
MLS Listing,,Single Family Residential,91 Bonnie Dr,San Pablo,CA,94806,399000,4,2.0,Montalvin Manor,1184,6820,1954,47,337,,Active,,,http://www.redfin.com/CA/San-Pablo/91-Bonnie-Dr-94806/home/1083383,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40901497,N,Y,37.9983483,-122.3271156
MLS Listing,,Single Family Residential,391 Princess Way,Brentwood,CA,94513,687000,5,4.0,Brentwood,2873,4200,2017,57,239,,Active,,,http://www.redfin.com/CA/Brentwood/391-Princess-Way-94513/home/142978182,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40900830,N,Y,37.939749,-121.70491
MLS Listing,,Single Family Residential,1888 San Vincente Dr,Concord,CA,94519,585000,3,2.0,Monte Gardens,1033,8125,1949,59,566,,Active,,,http://www.redfin.com/CA/Concord/1888-San-Vincente-Dr-94519/home/1676178,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40900651,N,Y,37.9865061,-122.0080654
MLS Listing,,Single Family Residential,291 Water Lily Cir,Vacaville,CA,95687,542900,3,2.0,Vacaville 7,1780,4696,2017,65,305,,Active,,,http://www.redfin.com/CA/Vacaville/291-Water-Lily-Cir-95687/home/143454549,BAREIS,22006657,N,Y,38.3508519,-121.9262224
MLS Listing,,Single Family Residential,4782 Mills Dr,Brentwood,CA,94513,525000,4,2.0,California Glory,1591,6360,1996,74,330,,Active,,,http://www.redfin.com/CA/Brentwood/4782-Mills-Dr-94513/home/1419465,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40899541,N,Y,37.9186547,-121.6882364
MLS Listing,,Single Family Residential,1451 Como Dr,Manteca,CA,95337,760000,4,2.5,Far South Manteca,3358,8751,2007,79,,133,Active,,,http://www.redfin.com/CA/Manteca/1451-Como-Dr-95337/home/22495634,MetroList,20015243,N,Y,37.7807073,-121.2841392
MLS Listing,,Single Family Residential,4831 Spinnaker Way,Discovery Bay,CA,94505,740000,3,2.0,Delta Waterfront,1638,7200,1985,85,452,,Active,,,http://www.redfin.com/CA/Discovery-Bay/4831-Spinnaker-Way-94505/home/1927604,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40898154,N,Y,37.8960214,-121.6029485
MLS Listing,,Single Family Residential,1591 California Trl,Brentwood,CA,94513,829000,3,2.0,Trilogy Vineyards,1946,7026,2014,88,426,333,Active,,,http://www.redfin.com/CA/Brentwood/1591-California-Trl-94513/home/23118142,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40897553,N,Y,37.9030457,-121.72932
MLS Listing,,Single Family Residential,2080 Rioja Way,Brentwood,CA,94513,765000,2,2.5,Trilogy Vineyards,2161,6869,2016,107,354,347,Active,,,http://www.redfin.com/CA/Brentwood/2080-Rioja-Way-94513/home/56908418,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40895399,N,Y,37.89474,-121.7252012
MLS Listing,,Single Family Residential,763 Tannehill Dr,Manteca,CA,95337,675000,4,4.0,South Manteca,3774,8917,2001,114,,,Active,,,http://www.redfin.com/CA/Manteca/763-Tannehill-Dr-95337/home/19734295,MetroList,20007141,N,Y,37.7691881,-121.2045465
MLS Listing,,Single Family Residential,2046 Eva St,Napa,CA,94559,625000,4,3.0,Napa,2206,2100,2016,116,283,313,Active,,,http://www.redfin.com/CA/Napa/2046-Eva-St-94559/home/109570776,BAREIS,22002194,N,Y,38.2783458,-122.2935855
Redfin Data,,Single Family Residential,8060 Mitchell Dr,Rohnert Park,CA,94928,625000,3,2.5,Rohnert Park,1796,4500,1989,2,348,,Pre On-Market,,,http://www.redfin.com/CA/Rohnert-Park/8060-Mitchell-Dr-94928/home/2358089,Coming Soon,56435,N,Y,38.3264362,-122.6818446
Redfin Data,,Single Family Residential,2440 Hagemann Way,Fairfield,CA,94533,695000,4,2.5,Fairfield,3342,6500,2015,3,208,,Pre On-Market,,,http://www.redfin.com/CA/Fairfield/2440-Hagemann-Way-94533/home/84717819,Coming Soon,56365,N,Y,38.3034904,-121.9752142
MLS Listing,,Single Family Residential,7637 Beth Ct,Rohnert Park,CA,94928,625000,3,2.0,Cotati/Rohnert Park,1502,6000,1968,1,416,,Active,,,http://www.redfin.com/CA/Rohnert-Park/7637-Beth-Ct-94928/home/2543251,BAREIS,22011089,N,Y,38.3358871,-122.6949071
MLS Listing,,Single Family Residential,3011 Luedke Pl,SAN JOSE,CA,95111,868000,4,2.5,SAN JOSE,1568,3549,1998,1,554,50,Active,,,http://www.redfin.com/CA/San-Jose/3011-Luedke-Pl-95111/home/1205992,MLSListings,ML81794604,N,Y,37.2901423,-121.8443185
MLS Listing,,Single Family Residential,4064 Montgomery Hill Dr,Antioch,CA,94531,559000,4,3.0,Dallas Estates,2179,6425,2000,1,257,,Active,,,http://www.redfin.com/CA/Antioch/4064-Montgomery-Hill-Dr-94531/home/1521725,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905947,N,Y,37.9684082,-121.8028989
MLS Listing,,Single Family Residential,2509 Tennessee St,Vallejo,CA,94591,460000,4,2.0,Vallejo 1,1552,5227,1942,1,296,,Active,,,http://www.redfin.com/CA/Vallejo/2509-Tennessee-St-94591/home/2287063,BAREIS,22011665,N,Y,38.1094142,-122.2205827
MLS Listing,,Single Family Residential,586 Altessa Ct,Brentwood,CA,94513,635000,5,3.5,Brentwood Hills,2771,6654,2003,1,229,,Active,,,http://www.redfin.com/CA/Brentwood/586-Altessa-Ct-94513/home/1686460,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906635,N,Y,37.93894,-121.7421208
MLS Listing,,Single Family Residential,1991 Kalis St,Fairfield,CA,94533,533000,4,2.5,Suisun 10,2346,2840,2020,1,227,190,Active,,,http://www.redfin.com/CA/Fairfield/1991-Kalis-St-94533/home/171948291,BAREIS,22011890,N,Y,38.263822,-121.990716
MLS Listing,,Single Family Residential,227 Sasha Rose Dr,Galt,CA,95632,350000,4,2.0,Galt,1260,6534,1997,1,,,Active,,,http://www.redfin.com/CA/Galt/227-Sasha-Rose-Dr-95632/home/19273661,MetroList,20030789,N,Y,38.2523427,-121.3202976
MLS Listing,,Single Family Residential,2348 Corbin,Lodi,CA,95242,418500,4,2.0,Lodi/Woodbdg/Sunnyside Estates/Henderson Village,1492,5798,1965,1,,,Active,,,http://www.redfin.com/CA/Lodi/2348-Corbin-Ln-95242/home/19863492,MetroList,20030718,N,Y,38.1268215,-121.3042525
MLS Listing,,Single Family Residential,1867 Pleasant Hill Rd,Pleasant Hill,CA,94523,819000,4,3.0,Pleasant Hill,1635,9840,1948,1,501,,Active,,,http://www.redfin.com/CA/Pleasant-Hill/1867-Pleasant-Hill-Rd-94523/home/1887593,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906165,N,Y,37.9338641,-122.0854533
MLS Listing,,Single Family Residential,621 Poppy Ave,Patterson,CA,95363,365000,4,2.5,Patterson,1848,5924,1989,1,,,Active,,,http://www.redfin.com/CA/Patterson/621-Poppy-Ave-95363/home/19959553,MetroList,20030468,N,Y,37.4608607,-121.1325763
MLS Listing,,Single Family Residential,662 Travertine Ct,Fairfield,CA,94534,508000,3,2.5,Green Valley 1,1722,3184,2011,1,295,105,Active,,,http://www.redfin.com/CA/Fairfield/662-Travertine-Ct-94534/home/22574058,BAREIS,22011855,N,Y,38.230419,-122.13021
MLS Listing,,Single Family Residential,1510 Harvest Dr,SAN JOSE,CA,95127,800000,3,2.0,SAN JOSE,1324,6313,1961,1,604,,Active,,,http://www.redfin.com/CA/San-Jose/1510-Harvest-Dr-95127/home/1639872,MLSListings,ML81794573,N,Y,37.3551423,-121.801297
