SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,246 Monte Vista Ln,DALY CITY,CA,94015,898000,3,2.5,DALY CITY,1600,1392,1981,3,561,350,Active,,,http://www.redfin.com/CA/Daly-City/246-Monte-Vista-Ln-94015/home/922403,MLSListings,ML81794298,Y,Y,37.658315,-122.463216
MLS Listing,,Single Family Residential,1950 Evergreen Ave,San Leandro,CA,94577,799888,3,2.0,Assumption Parsh,1940,5700,1956,4,412,,Active,,,http://www.redfin.com/CA/San-Leandro/1950-Evergreen-Ave-94577/home/1939632,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905479,N,Y,37.7226265,-122.1368593
MLS Listing,,Single Family Residential,9648 Dunbar Dr,Oakland,CA,94603,669880,3,2.5,Stonehurst,1414,2015,2011,16,474,125,Active,,,http://www.redfin.com/CA/Oakland/9648-Dunbar-Dr-94603/home/28697352,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904884,N,Y,37.7411837,-122.1787301
MLS Listing,,Single Family Residential,2543 Lancaster Rd,Hayward,CA,94542,874950,3,2.0,Woodland Estates,1623,9492,1956,1,539,31,Active,,,http://www.redfin.com/CA/Hayward/2543-Lancaster-Rd-94542/home/1735096,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906691,N,Y,37.6647434,-122.0515834
MLS Listing,,Single Family Residential,1021 E 23rd St,Oakland,CA,94606,699000,3,2.0,Clinton,1450,5500,1912,1,482,,Active,,,http://www.redfin.com/CA/Oakland/1021-E-23rd-St-94606/home/533684,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906683,N,Y,37.7975023,-122.2410824
MLS Listing,,Single Family Residential,1867 Pleasant Hill Rd,Pleasant Hill,CA,94523,819000,4,3.0,Pleasant Hill,1635,9840,1948,1,501,,Active,,,http://www.redfin.com/CA/Pleasant-Hill/1867-Pleasant-Hill-Rd-94523/home/1887593,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906165,N,Y,37.9338641,-122.0854533
MLS Listing,,Single Family Residential,1060 69Th Ave,Oakland,CA,94621,500000,3,2.0,Oakland,1080,3500,1924,1,463,,Active,,,http://www.redfin.com/CA/Oakland/1060-69th-Ave-94621/home/1995369,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906616,N,Y,37.758351,-122.193427
MLS Listing,,Single Family Residential,10 Harbor View Dr,Richmond,CA,94804,885000,3,3.5,Sunset Pointe,1880,3402,1997,1,471,130,Active,,,http://www.redfin.com/CA/Richmond/10-Harbor-View-Dr-94804/home/1602293,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906607,N,Y,37.9084159,-122.3492108
MLS Listing,,Single Family Residential,14869 Midland Rd,San Leandro,CA,94578,829000,3,2.0,Hill Crest Knoll,1644,6725,1992,2,504,,Active,,,http://www.redfin.com/CA/San-Leandro/14869-Midland-Rd-94578/home/1966058,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906603,N,Y,37.7126032,-122.1233501
MLS Listing,,Single Family Residential,26732 Gaither Way,Hayward,CA,94544,699000,3,2.0,Schafer Park,1578,5040,1953,2,443,,Active,,,http://www.redfin.com/CA/Hayward/26732-Gaither-Way-94544/home/1006020,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906589,N,Y,37.6386135,-122.0823686
MLS Listing,,Single Family Residential,1076 24th St,Oakland,CA,94607,644000,4,2.5,Alameda County,1492,2500,2020,2,432,,Active,,,http://www.redfin.com/CA/Oakland/1076-24th-St-94607/home/18293162,BAREIS,22011832,N,Y,37.81704,-122.281789
MLS Listing,,Single Family Residential,1532 Via Rancho,San Lorenzo,CA,94580,700000,3,2.0,San Lorenzo Vilg,1143,5000,1954,2,612,12,Active,,,http://www.redfin.com/CA/San-Lorenzo/1532-Via-Rancho-94580/home/1314921,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906509,N,Y,37.6759053,-122.1439707
MLS Listing,,Single Family Residential,1715 MacArthur Blvd,Oakland,CA,94602,699000,2,2.0,Oakland,,,,2,,,Active,,,http://www.redfin.com/CA/Oakland/1715-MacArthur-Blvd-94602/home/1329278,San Francisco MLS,498915,N,Y,37.7999105,-122.2213585
