,ADDRESS,ADDRESS,CITY,CITY,travel_time,URL,URL,LOCATION,LOCATION,travel_cost,travel_seconds,travel_minutes,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED
0,246 Monte Vista Ln,246 Monte Vista Ln,DALY CITY,DALY CITY,1 hour 4 mins,http://www.redfin.com/CA/Daly-City/246-Monte-Vista-Ln-94015/home/922403,http://www.redfin.com/CA/Daly-City/246-Monte-Vista-Ln-94015/home/922403,"37.658315,-122.46321599999999",DALY CITY,$7.00,3835,63.916666666666664,Active,,,MLSListings,ML81794298,Y,Y
1,1950 Evergreen Ave,1950 Evergreen Ave,San Leandro,San Leandro,1 hour 7 mins,http://www.redfin.com/CA/San-Leandro/1950-Evergreen-Ave-94577/home/1939632,http://www.redfin.com/CA/San-Leandro/1950-Evergreen-Ave-94577/home/1939632,"37.722626500000004,-122.13685929999998",Assumption Parsh,,4002,66.7,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905479,N,Y
2,9648 Dunbar Dr,9648 Dunbar Dr,Oakland,Oakland,1 hour 2 mins,http://www.redfin.com/CA/Oakland/9648-Dunbar-Dr-94603/home/28697352,http://www.redfin.com/CA/Oakland/9648-Dunbar-Dr-94603/home/28697352,"37.74118370000001,-122.1787301",Stonehurst,,3741,62.35,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904884,N,Y
3,2543 Lancaster Rd,2543 Lancaster Rd,Hayward,Hayward,1 hour 22 mins,http://www.redfin.com/CA/Hayward/2543-Lancaster-Rd-94542/home/1735096,http://www.redfin.com/CA/Hayward/2543-Lancaster-Rd-94542/home/1735096,"37.6647434,-122.0515834",Woodland Estates,,4906,81.76666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906691,N,Y
4,1021 E 23rd St,1021 E 23rd St,Oakland,Oakland,42 mins,http://www.redfin.com/CA/Oakland/1021-E-23rd-St-94606/home/533684,http://www.redfin.com/CA/Oakland/1021-E-23rd-St-94606/home/533684,"37.7975023,-122.2410824",Clinton,,2501,41.68333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906683,N,Y
5,1867 Pleasant Hill Rd,1867 Pleasant Hill Rd,Pleasant Hill,Pleasant Hill,9 hours 41 mins,http://www.redfin.com/CA/Pleasant-Hill/1867-Pleasant-Hill-Rd-94523/home/1887593,http://www.redfin.com/CA/Pleasant-Hill/1867-Pleasant-Hill-Rd-94523/home/1887593,"37.9338641,-122.08545330000001",Pleasant Hill,$9.30,34844,580.7333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906165,N,Y
6,1060 69Th Ave,1060 69Th Ave,Oakland,Oakland,40 mins,http://www.redfin.com/CA/Oakland/1060-69th-Ave-94621/home/1995369,http://www.redfin.com/CA/Oakland/1060-69th-Ave-94621/home/1995369,"37.758351,-122.193427",Oakland,$5.00,2380,39.666666666666664,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906616,N,Y
7,10 Harbor View Dr,10 Harbor View Dr,Richmond,Richmond,1 hour 38 mins,http://www.redfin.com/CA/Richmond/10-Harbor-View-Dr-94804/home/1602293,http://www.redfin.com/CA/Richmond/10-Harbor-View-Dr-94804/home/1602293,"37.9084159,-122.3492108",Sunset Pointe,,5884,98.06666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906607,N,Y
8,14869 Midland Rd,14869 Midland Rd,San Leandro,San Leandro,1 hour 11 mins,http://www.redfin.com/CA/San-Leandro/14869-Midland-Rd-94578/home/1966058,http://www.redfin.com/CA/San-Leandro/14869-Midland-Rd-94578/home/1966058,"37.712603200000004,-122.1233501",Hill Crest Knoll,,4268,71.13333333333334,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906603,N,Y
9,26732 Gaither Way,26732 Gaither Way,Hayward,Hayward,1 hour 15 mins,http://www.redfin.com/CA/Hayward/26732-Gaither-Way-94544/home/1006020,http://www.redfin.com/CA/Hayward/26732-Gaither-Way-94544/home/1006020,"37.6386135,-122.0823686",Schafer Park,,4502,75.03333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906589,N,Y
10,1076 24th St,1076 24th St,Oakland,Oakland,45 mins,http://www.redfin.com/CA/Oakland/1076-24th-St-94607/home/18293162,http://www.redfin.com/CA/Oakland/1076-24th-St-94607/home/18293162,"37.817040000000006,-122.28178899999999",Alameda County,,2729,45.483333333333334,Active,,,BAREIS,22011832,N,Y
11,1532 Via Rancho,1532 Via Rancho,San Lorenzo,San Lorenzo,1 hour 18 mins,http://www.redfin.com/CA/San-Lorenzo/1532-Via-Rancho-94580/home/1314921,http://www.redfin.com/CA/San-Lorenzo/1532-Via-Rancho-94580/home/1314921,"37.6759053,-122.1439707",San Lorenzo Vilg,,4650,77.5,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906509,N,Y
