,ADDRESS,CITY,URL,LATITUDE,LONGITUDE,LOCATION,travel_time,travel_cost
0,246 Monte Vista Ln,DALY CITY,http://www.redfin.com/CA/Daly-City/246-Monte-Vista-Ln-94015/home/922403,37.658315,-122.46321599999999,"37.658315,-122.46321599999999",1 hour 9 mins,$6.65
1,1950 Evergreen Ave,San Leandro,http://www.redfin.com/CA/San-Leandro/1950-Evergreen-Ave-94577/home/1939632,37.722626500000004,-122.13685929999998,"37.722626500000004,-122.13685929999998",,
2,9648 Dunbar Dr,Oakland,http://www.redfin.com/CA/Oakland/9648-Dunbar-Dr-94603/home/28697352,37.74118370000001,-122.1787301,"37.74118370000001,-122.1787301",,
3,2543 Lancaster Rd,Hayward,http://www.redfin.com/CA/Hayward/2543-Lancaster-Rd-94542/home/1735096,37.6647434,-122.0515834,"37.6647434,-122.0515834",,
4,1021 E 23rd St,Oakland,http://www.redfin.com/CA/Oakland/1021-E-23rd-St-94606/home/533684,37.7975023,-122.2410824,"37.7975023,-122.2410824",,
5,1867 Pleasant Hill Rd,Pleasant Hill,http://www.redfin.com/CA/Pleasant-Hill/1867-Pleasant-Hill-Rd-94523/home/1887593,37.9338641,-122.08545330000001,"37.9338641,-122.08545330000001",9 hours 41 mins,$9.30
6,1060 69Th Ave,Oakland,http://www.redfin.com/CA/Oakland/1060-69th-Ave-94621/home/1995369,37.758351,-122.193427,"37.758351,-122.193427",40 mins,$5.00
7,10 Harbor View Dr,Richmond,http://www.redfin.com/CA/Richmond/10-Harbor-View-Dr-94804/home/1602293,37.9084159,-122.3492108,"37.9084159,-122.3492108",,
8,14869 Midland Rd,San Leandro,http://www.redfin.com/CA/San-Leandro/14869-Midland-Rd-94578/home/1966058,37.712603200000004,-122.1233501,"37.712603200000004,-122.1233501",,
9,26732 Gaither Way,Hayward,http://www.redfin.com/CA/Hayward/26732-Gaither-Way-94544/home/1006020,37.6386135,-122.0823686,"37.6386135,-122.0823686",,
